Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.687403,0.489969,0.283741,0.572132,65139,39904,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,361209,.,.,235887.000000,114238.000000,,2.06487333462,164260,.,.,60707.000000,79833.000000,,0.760424886952,1050160,.,.,887960.000000,154570.000000,,5.74471113411,368548,.,.,252059.000000,113800.000000,,2.21492970123,383639,.,.,382319.000000,80.000000,,4778.9875,297973,.,.,253582.000000,40690.000000,,6.23204718604
INDEL,*,*,PASS,*,QUAL,*,0.687403,0.489969,0.283741,0.572132,65139,39904,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,361209,.,.,235887.000000,114238.000000,,2.06487333462,164260,.,.,60707.000000,79833.000000,,0.760424886952,1050160,.,.,887960.000000,154570.000000,,5.74471113411,368548,.,.,252059.000000,113800.000000,,2.21492970123,383639,.,.,382319.000000,80.000000,,4778.9875,297973,.,.,253582.000000,40690.000000,,6.23204718604
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.437525,0.24846,0.292873,0.316938,44159,35086,83977437.000000,62848827.000000,0.000000,229971,.,.,127620.000000,85989.000000,,1.48414332066,100618,.,.,79169.000000,19934.000000,,3.97155613525,129353,.,.,48451.000000,66055.000000,,0.733494814927,581105,.,.,553392.000000,26402.000000,,20.9602302856,102096,.,.,81960.000000,19821.000000,,4.1350083245,308819,.,.,308381.000000,10.000000,,30838.1,170190,.,.,163051.000000,6571.000000,,24.8137269822
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.437525,0.24846,0.292873,0.316938,44159,35086,83977437.000000,62848827.000000,0.000000,229971,.,.,127620.000000,85989.000000,,1.48414332066,100618,.,.,79169.000000,19934.000000,,3.97155613525,129353,.,.,48451.000000,66055.000000,,0.733494814927,581105,.,.,553392.000000,26402.000000,,20.9602302856,102096,.,.,81960.000000,19821.000000,,4.1350083245,308819,.,.,308381.000000,10.000000,,30838.1,170190,.,.,163051.000000,6571.000000,,24.8137269822
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.820958,0.815162,0.753798,0.818049,1729,355,123639327.000000,22632619.000000,0.000000,18962,.,.,11181.000000,6091.000000,,1.83565916927,15567,.,.,9737.000000,4734.000000,,2.05682298268,3395,.,.,1444.000000,1357.000000,,1.06411201179,80690,.,.,55056.000000,23744.000000,,2.31873315364,16194,.,.,11272.000000,4687.000000,,2.40494986132,3672,.,.,3620.000000,5.000000,,724.0,60824,.,.,40164.000000,19052.000000,,2.10812513122
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.820958,0.815162,0.753798,0.818049,1729,355,123639327.000000,22632619.000000,0.000000,18962,.,.,11181.000000,6091.000000,,1.83565916927,15567,.,.,9737.000000,4734.000000,,2.05682298268,3395,.,.,1444.000000,1357.000000,,1.06411201179,80690,.,.,55056.000000,23744.000000,,2.31873315364,16194,.,.,11272.000000,4687.000000,,2.40494986132,3672,.,.,3620.000000,5.000000,,724.0,60824,.,.,40164.000000,19052.000000,,2.10812513122
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.534567,0.351134,0.334722,0.423856,63534,38697,252347426.000000,122953793.000000,0.000000,339125,.,.,186105.000000,118355.000000,,1.57243040007,181285,.,.,130083.000000,40237.000000,,3.2329199493,157840,.,.,56022.000000,78118.000000,,0.717145856269,808576,.,.,732062.000000,69151.000000,,10.5864268051,188885,.,.,146342.000000,39960.000000,,3.66221221221,349043,.,.,347796.000000,29.000000,,11992.9655172,270648,.,.,237924.000000,29162.000000,,8.15869967766
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.534567,0.351134,0.334722,0.423856,63534,38697,252347426.000000,122953793.000000,0.000000,339125,.,.,186105.000000,118355.000000,,1.57243040007,181285,.,.,130083.000000,40237.000000,,3.2329199493,157840,.,.,56022.000000,78118.000000,,0.717145856269,808576,.,.,732062.000000,69151.000000,,10.5864268051,188885,.,.,146342.000000,39960.000000,,3.66221221221,349043,.,.,347796.000000,29.000000,,11992.9655172,270648,.,.,237924.000000,29162.000000,,8.15869967766
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.924107,0.872881,0.5,0.897764,7,5,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,207,.,.,116.000000,91.000000,,1.27472527473,17,.,.,8.000000,9.000000,,0.888888888889,472,.,.,348.000000,124.000000,,2.8064516129,206,.,.,115.000000,91.000000,,1.26373626374,30,.,.,29.000000,1.000000,,29.0,236,.,.,204.000000,32.000000,,6.375
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.924107,0.872881,0.5,0.897764,7,5,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,207,.,.,116.000000,91.000000,,1.27472527473,17,.,.,8.000000,9.000000,,0.888888888889,472,.,.,348.000000,124.000000,,2.8064516129,206,.,.,115.000000,91.000000,,1.26373626374,30,.,.,29.000000,1.000000,,29.0,236,.,.,204.000000,32.000000,,6.375
INDEL,*,MHC,ALL,*,QUAL,*,0.760883,0.80335,0.469388,0.78154,85,21,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1276,.,.,751.000000,486.000000,,1.54526748971,401,.,.,307.000000,63.000000,,4.87301587302,3038,.,.,2323.000000,689.000000,,3.37155297533,1295,.,.,798.000000,485.000000,,1.64536082474,317,.,.,308.000000,7.000000,,44.0,1426,.,.,1217.000000,197.000000,,6.17766497462
INDEL,*,MHC,PASS,*,QUAL,*,0.760883,0.80335,0.469388,0.78154,85,21,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1276,.,.,751.000000,486.000000,,1.54526748971,401,.,.,307.000000,63.000000,,4.87301587302,3038,.,.,2323.000000,689.000000,,3.37155297533,1295,.,.,798.000000,485.000000,,1.64536082474,317,.,.,308.000000,7.000000,,44.0,1426,.,.,1217.000000,197.000000,,6.17766497462
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.70858,0.794833,0.670275,0.749232,477,160,3036641434.000000,2546949881.000000,0.000000,3380,.,.,1580.000000,1310.000000,,1.20610687023,2395,.,.,1215.000000,900.000000,,1.35,985,.,.,365.000000,410.000000,,0.890243902439,9978,.,.,8278.000000,1697.000000,,4.87802003536,2615,.,.,1735.000000,880.000000,,1.97159090909,675,.,.,673.000000,2.000000,,336.5,6688,.,.,5870.000000,815.000000,,7.20245398773
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.70858,0.794833,0.670275,0.749232,477,160,3036641434.000000,2546949881.000000,0.000000,3380,.,.,1580.000000,1310.000000,,1.20610687023,2395,.,.,1215.000000,900.000000,,1.35,985,.,.,365.000000,410.000000,,0.890243902439,9978,.,.,8278.000000,1697.000000,,4.87802003536,2615,.,.,1735.000000,880.000000,,1.97159090909,675,.,.,673.000000,2.000000,,336.5,6688,.,.,5870.000000,815.000000,,7.20245398773
INDEL,*,TS_contained,ALL,*,QUAL,*,0.687266,0.488629,0.0,0.57117,64662,39744,2546949881.000000,2546949881.000000,0.000000,522089,.,.,295014.000000,192761.000000,,1.53046518746,358814,.,.,234672.000000,113338.000000,,2.07055003617,163275,.,.,60342.000000,79423.000000,,0.759754730997,748897,.,.,631970.000000,112998.000000,,5.59275385405,365933,.,.,250324.000000,112920.000000,,2.21682607156,382964,.,.,381646.000000,78.000000,,4892.8974359,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.687266,0.488629,0.0,0.57117,64662,39744,2546949881.000000,2546949881.000000,0.000000,522089,.,.,295014.000000,192761.000000,,1.53046518746,358814,.,.,234672.000000,113338.000000,,2.07055003617,163275,.,.,60342.000000,79423.000000,,0.759754730997,748897,.,.,631970.000000,112998.000000,,5.59275385405,365933,.,.,250324.000000,112920.000000,,2.21682607156,382964,.,.,381646.000000,78.000000,,4892.8974359,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.569622,0.381808,0.329075,0.457178,63884,38900,642823514.000000,416632300.000000,0.000000,370565,.,.,204149.000000,131721.000000,,1.54985917204,211082,.,.,146877.000000,53214.000000,,2.76011951742,159483,.,.,57272.000000,78507.000000,,0.72951456558,853045,.,.,758762.000000,86849.000000,,8.73656576357,218520,.,.,163066.000000,52850.000000,,3.08544938505,353809,.,.,352523.000000,67.000000,,5261.53731343,280716,.,.,243173.000000,33932.000000,,7.16648001886
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.569622,0.381808,0.329075,0.457178,63884,38900,642823514.000000,416632300.000000,0.000000,370565,.,.,204149.000000,131721.000000,,1.54985917204,211082,.,.,146877.000000,53214.000000,,2.76011951742,159483,.,.,57272.000000,78507.000000,,0.72951456558,853045,.,.,758762.000000,86849.000000,,8.73656576357,218520,.,.,163066.000000,52850.000000,,3.08544938505,353809,.,.,352523.000000,67.000000,,5261.53731343,280716,.,.,243173.000000,33932.000000,,7.16648001886
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.881356,0.696987,0.73212,0.778404,1044,311,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,15444,.,.,9083.000000,6093.000000,,1.49072706384,2079,.,.,977.000000,957.000000,,1.02089864159,82776,.,.,61063.000000,21012.000000,,2.90610127546,15455,.,.,9383.000000,6013.000000,,1.56045235323,6719,.,.,6648.000000,36.000000,,184.666666667,60602,.,.,45032.000000,14963.000000,,3.00955690704
INDEL,*,alllowmapandsegdupregions,PASS,*,QUAL,*,0.881356,0.696987,0.73212,0.778404,1044,311,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,15444,.,.,9083.000000,6093.000000,,1.49072706384,2079,.,.,977.000000,957.000000,,1.02089864159,82776,.,.,61063.000000,21012.000000,,2.90610127546,15455,.,.,9383.000000,6013.000000,,1.56045235323,6719,.,.,6648.000000,36.000000,,184.666666667,60602,.,.,45032.000000,14963.000000,,3.00955690704
INDEL,*,collapsed_duplication_FP_regions,ALL,*,QUAL,*,0.853933,0.652542,0.951659,0.739776,6,2,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,76,.,.,37.000000,38.000000,,0.973684210526,13,.,.,7.000000,5.000000,,1.4,2441,.,.,1578.000000,821.000000,,1.92204628502,77,.,.,39.000000,38.000000,,1.02631578947,41,.,.,41.000000,0.000000,,,2323,.,.,1498.000000,783.000000,,1.91315453384
INDEL,*,collapsed_duplication_FP_regions,PASS,*,QUAL,*,0.853933,0.652542,0.951659,0.739776,6,2,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,76,.,.,37.000000,38.000000,,0.973684210526,13,.,.,7.000000,5.000000,,1.4,2441,.,.,1578.000000,821.000000,,1.92204628502,77,.,.,39.000000,38.000000,,1.02631578947,41,.,.,41.000000,0.000000,,,2323,.,.,1498.000000,783.000000,,1.91315453384
INDEL,*,false_duplications_correct_copy,ALL,*,QUAL,*,0.967742,0.545455,0.876404,0.697674,0,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,30,.,.,27.000000,3.000000,,9.0,1,.,.,1.000000,0.000000,,,445,.,.,361.000000,81.000000,,4.45679012346,30,.,.,27.000000,3.000000,,9.0,25,.,.,25.000000,0.000000,,,390,.,.,309.000000,78.000000,,3.96153846154
INDEL,*,false_duplications_correct_copy,PASS,*,QUAL,*,0.967742,0.545455,0.876404,0.697674,0,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,30,.,.,27.000000,3.000000,,9.0,1,.,.,1.000000,0.000000,,,445,.,.,361.000000,81.000000,,4.45679012346,30,.,.,27.000000,3.000000,,9.0,25,.,.,25.000000,0.000000,,,390,.,.,309.000000,78.000000,,3.96153846154
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,ALL,*,QUAL,*,0.583527,0.650536,0.750856,0.615212,1344,427,13528469.000000,2276581.000000,0.000000,6010,.,.,1626.000000,3739.000000,,0.434875635197,3507,.,.,1070.000000,2181.000000,,0.490600641907,2503,.,.,556.000000,1558.000000,,0.356867779204,22477,.,.,17002.000000,5248.000000,,3.23971036585,3643,.,.,1478.000000,2148.000000,,0.688081936685,1957,.,.,1941.000000,6.000000,,323.5,16877,.,.,13583.000000,3094.000000,,4.39010989011
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,PASS,*,QUAL,*,0.583527,0.650536,0.750856,0.615212,1344,427,13528469.000000,2276581.000000,0.000000,6010,.,.,1626.000000,3739.000000,,0.434875635197,3507,.,.,1070.000000,2181.000000,,0.490600641907,2503,.,.,556.000000,1558.000000,,0.356867779204,22477,.,.,17002.000000,5248.000000,,3.23971036585,3643,.,.,1478.000000,2148.000000,,0.688081936685,1957,.,.,1941.000000,6.000000,,323.5,16877,.,.,13583.000000,3094.000000,,4.39010989011
INDEL,*,nonunique_l250_m0_e0,ALL,*,QUAL,*,0.772795,0.56087,0.910515,0.649994,37,15,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,517,.,.,339.000000,176.000000,,1.92613636364,152,.,.,121.000000,29.000000,,4.1724137931,10281,.,.,6526.000000,3686.000000,,1.7704829083,516,.,.,342.000000,174.000000,,1.96551724138,404,.,.,382.000000,21.000000,,18.1904761905,9361,.,.,5802.000000,3491.000000,,1.66198796906
INDEL,*,nonunique_l250_m0_e0,PASS,*,QUAL,*,0.772795,0.56087,0.910515,0.649994,37,15,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,517,.,.,339.000000,176.000000,,1.92613636364,152,.,.,121.000000,29.000000,,4.1724137931,10281,.,.,6526.000000,3686.000000,,1.7704829083,516,.,.,342.000000,174.000000,,1.96551724138,404,.,.,382.000000,21.000000,,18.1904761905,9361,.,.,5802.000000,3491.000000,,1.66198796906
INDEL,*,notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.881208,0.780912,0.273367,0.828034,21052,4838,2850902974.000000,2479394549.000000,0.000000,296307,.,.,169516.000000,108213.000000,,1.56650310037,261108,.,.,157078.000000,94366.000000,,1.66456138864,35199,.,.,12438.000000,13847.000000,,0.898245107243,470518,.,.,335928.000000,128288.000000,,2.61854577201,266989,.,.,170573.000000,94043.000000,,1.81377667663,74905,.,.,74027.000000,70.000000,,1057.52857143,128624,.,.,91328.000000,34175.000000,,2.67236283833
INDEL,*,notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.881208,0.780912,0.273367,0.828034,21052,4838,2850902974.000000,2479394549.000000,0.000000,296307,.,.,169516.000000,108213.000000,,1.56650310037,261108,.,.,157078.000000,94366.000000,,1.66456138864,35199,.,.,12438.000000,13847.000000,,0.898245107243,470518,.,.,335928.000000,128288.000000,,2.61854577201,266989,.,.,170573.000000,94043.000000,,1.81377667663,74905,.,.,74027.000000,70.000000,,1057.52857143,128624,.,.,91328.000000,34175.000000,,2.67236283833
INDEL,*,notinAllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.964931,0.838891,0.113378,0.897508,1604,1206,2682532985.000000,2419289583.000000,0.000000,186804,.,.,110923.000000,75744.000000,,1.46444602873,180253,.,.,106123.000000,74010.000000,,1.43390082421,6551,.,.,4800.000000,1734.000000,,2.76816608997,241987,.,.,156313.000000,85409.000000,,1.83017012259,179985,.,.,106026.000000,73853.000000,,1.43563565461,34566,.,.,34493.000000,51.000000,,676.333333333,27436,.,.,15794.000000,11505.000000,,1.3727944372
INDEL,*,notinAllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.964931,0.838891,0.113378,0.897508,1604,1206,2682532985.000000,2419289583.000000,0.000000,186804,.,.,110923.000000,75744.000000,,1.46444602873,180253,.,.,106123.000000,74010.000000,,1.43390082421,6551,.,.,4800.000000,1734.000000,,2.76816608997,241987,.,.,156313.000000,85409.000000,,1.83017012259,179985,.,.,106026.000000,73853.000000,,1.43563565461,34566,.,.,34493.000000,51.000000,,676.333333333,27436,.,.,15794.000000,11505.000000,,1.3727944372
INDEL,*,notinalldifficultregions,ALL,*,QUAL,*,0.968403,0.834681,0.088114,0.896583,1256,1001,2292056897.000000,2125611076.000000,0.000000,155235,.,.,92766.000000,62362.000000,,1.4875404894,150330,.,.,89221.000000,61017.000000,,1.46223183703,4905,.,.,3545.000000,1345.000000,,2.63568773234,197370,.,.,129464.000000,67713.000000,,1.9119519147,150225,.,.,89196.000000,60945.000000,,1.46354910165,29754,.,.,29720.000000,13.000000,,2286.15384615,17391,.,.,10548.000000,6755.000000,,1.5615099926
INDEL,*,notinalldifficultregions,PASS,*,QUAL,*,0.968403,0.834681,0.088114,0.896583,1256,1001,2292056897.000000,2125611076.000000,0.000000,155235,.,.,92766.000000,62362.000000,,1.4875404894,150330,.,.,89221.000000,61017.000000,,1.46223183703,4905,.,.,3545.000000,1345.000000,,2.63568773234,197370,.,.,129464.000000,67713.000000,,1.9119519147,150225,.,.,89196.000000,60945.000000,,1.46354910165,29754,.,.,29720.000000,13.000000,,2286.15384615,17391,.,.,10548.000000,6755.000000,,1.5615099926
INDEL,*,notinalllowmapandsegdupregions,ALL,*,QUAL,*,0.6806,0.483647,0.244858,0.565464,64088,39590,2629265608.000000,2397013735.000000,0.000000,507758,.,.,286452.000000,186896.000000,,1.53268127729,345580,.,.,226718.000000,108031.000000,,2.09863835381,162178,.,.,59734.000000,78865.000000,,0.757420909149,966298,.,.,825982.000000,133424.000000,,6.19065535436,352913,.,.,242623.000000,107672.000000,,2.25335277509,376779,.,.,375531.000000,44.000000,,8534.79545455,236606,.,.,207828.000000,25708.000000,,8.08417613194
INDEL,*,notinalllowmapandsegdupregions,PASS,*,QUAL,*,0.6806,0.483647,0.244858,0.565464,64088,39590,2629265608.000000,2397013735.000000,0.000000,507758,.,.,286452.000000,186896.000000,,1.53268127729,345580,.,.,226718.000000,108031.000000,,2.09863835381,162178,.,.,59734.000000,78865.000000,,0.757420909149,966298,.,.,825982.000000,133424.000000,,6.19065535436,352913,.,.,242623.000000,107672.000000,,2.25335277509,376779,.,.,375531.000000,44.000000,,8534.79545455,236606,.,.,207828.000000,25708.000000,,8.08417613194
INDEL,*,refseq_cds,ALL,*,QUAL,*,0.943152,0.353682,0.18419,0.514447,7,6,34083082.000000,31435292.000000,0.000000,387,.,.,250.000000,133.000000,,1.87969924812,365,.,.,237.000000,124.000000,,1.91129032258,22,.,.,13.000000,9.000000,,1.44444444444,1265,.,.,1068.000000,191.000000,,5.59162303665,365,.,.,238.000000,125.000000,,1.904,667,.,.,667.000000,0.000000,,,233,.,.,163.000000,66.000000,,2.4696969697
INDEL,*,refseq_cds,PASS,*,QUAL,*,0.943152,0.353682,0.18419,0.514447,7,6,34083082.000000,31435292.000000,0.000000,387,.,.,250.000000,133.000000,,1.87969924812,365,.,.,237.000000,124.000000,,1.91129032258,22,.,.,13.000000,9.000000,,1.44444444444,1265,.,.,1068.000000,191.000000,,5.59162303665,365,.,.,238.000000,125.000000,,1.904,667,.,.,667.000000,0.000000,,,233,.,.,163.000000,66.000000,,2.4696969697
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,83977437.000000,62848827.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,83977437.000000,62848827.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,123639327.000000,22632619.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,123639327.000000,22632619.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,252347426.000000,122953793.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,252347426.000000,122953793.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,L1H_gt500,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3288114.000000,2227709.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,L1H_gt500,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3288114.000000,2227709.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,MHC,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,4970557.000000,4634060.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,MHC,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,4970557.000000,4634060.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3036641434.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3036641434.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2546949881.000000,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,alldifficultregions,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,642823514.000000,416632300.000000,0.000000,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
